job_id,job_title,company,location,skills,date_posted,salary_raw,job_type,source,ingested_at
4ad50acc-dabe-4136-b41d-46bcaeb10a31,Customer Experience Shift Manager,Samsung SDS,Gurgaon,"manager, training, director, lead, excel, health, non tech",2026-01-24T00:00:56+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731321
8593d2b0-a652-411a-8fa6-091724d673b2,Technical Project Manager,Infosys,Hyderabad,"manager, technical, support, management, lead, operational, analytics, health, healthcare, engineering, full-time",2026-01-21T08:00:57+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731708
c37e8155-bcac-4dbf-bafc-d2c84e98076d,Senior Lead Designer Web &amp; Interactive,Accenture,Gurgaon,"web, design, jira, web3, crypto, react, 3d, architect, designer, technical, qa, javascript, financial, lead, content, senior, marketing, engineering, digital nomad",2026-01-22T18:00:27+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731485
2345a629-7082-476c-9123-f262c5faa865,Data Partnerships,Samsung SDS,Pune,"saas, technical, growth, voice, manager, management, operational, go, health, engineering",2026-01-26T08:00:31+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731101
1fa3fc27-96a0-47b0-bb59-8284eca4da62,Customer Support Technician,Samsung SDS,Pune,"technical, support, software, growth, web, payroll, qa, financial, education, microsoft, go, health, healthcare, full-time",2026-01-21T11:00:31+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731678
bbb0f56b-5c2a-47df-8e0f-92e1c76b732c,Technical Support Engineer,Samsung SDS,Remote,"python, technical, support, growth, director, javascript, strategy, content, engineer, engineering, executive",2026-01-25T02:00:03+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731149
77b8d40f-eb57-4a75-98f2-1854f193f46c,Quality Assurance Analyst,Samsung SDS,Remote,"analyst, system, speech, financial, finance, analytics",2026-01-23T00:00:28+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731477
c17ccaec-16a2-465e-b8ad-6433a277f65b,Proposal Manager,TCS,Remote,"manager, support, microsoft, management, lead, operations, operational, health, non tech",2026-01-24T00:01:56+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731275
82b1f5d4-06cf-47cc-98a1-1048c22b5596,Senior Platform Engineer Postgres Specialist,Wipro,Gurgaon,"cloud, postgresql, senior, operational, engineer, educational, full-time",2026-01-26T08:00:38+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731093
a4a4f4c0-a791-43c7-bed5-91c1ec25e457,Financial Analyst,Infosys,Bangalore,"analyst, financial",2026-01-26T09:00:34+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731069
44ddfeea-036c-4e76-8ea6-72f0f0e9dec8,Fullstack Engineer Education,TCS,Pune,"system, support, education, content, analytics, engineer, engineering, backend, fullstack",2026-01-25T16:00:07+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731124
f9fc2fdc-7bd1-4319-82d3-bbe97968f11d,Senior Game Designer WWE Champions,Samsung SDS,Remote,"game, design, designer, support, mobile, senior, engineering, digital nomad",2026-01-23T05:00:15+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731385
ef763ab0-0e25-4333-a9d4-44b1532b6ee9,Staff Platform Security Engineer Office of the CISO,TCS,Gurgaon,"infosec, security, saas, software, growth, cloud, microsoft, engineer",2026-01-26T18:00:07+00:00,,,RemoteOK_API,2026-01-27 20:40:13.730935
e5fcbfb2-a87c-4a3b-bca2-2caeabc96f11,iOS Software Engineer,TCS,Gurgaon,"ios, software, mobile, engineer, engineering",2026-01-21T01:00:08+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731736
1f969d16-bd6f-434d-9ba4-0df36f7f0b14,Client Success Manager,Accenture,Gurgaon,"manager, saas, training, consulting, support, growth, operational, sales, engineering",2026-01-24T00:01:26+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731299
5a8283c9-c265-49dd-93fc-8b12224ae695,Manager of Storage Services,Wipro,Remote,"manager, technical, support, cloud, strategy, management, operations, operational, analytics",2026-01-24T16:00:12+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731181
da72b7eb-b0c8-487c-8e2e-cddf19b3d78f,Software Engineer Manager Marketing,Wipro,Gurgaon,"software, manager, crypto, cryptocurrency, security, marketing, engineer",2026-01-26T09:00:25+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731079
1f969d16-bd6f-434d-9ba4-0df36f7f0b14,Client Success Manager,Infosys,Remote,"manager, saas, training, consulting, support, growth, operational, sales, engineering",2026-01-24T00:01:26+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731299
2ceb95ea-5996-408d-ba4e-3360b721699c,Principal Engineer Pulumi Neo,Wipro,Hyderabad,"design, security, code, web, cloud, operations, engineer, engineering, digital nomad",2026-01-20T04:00:29+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731836
b14122ab-bb4c-4a1f-9a25-aad7014d65db,Revenue Operations Analyst,TCS,Remote,"analyst, saas, salesforce, system, training, architect, technical, support, software, growth, financial, administrator, admin, lead, operations, sales, health, backend",2026-01-21T00:01:10+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731760
f9fc2fdc-7bd1-4319-82d3-bbe97968f11d,Senior Game Designer WWE Champions,TCS,Pune,"game, design, designer, support, mobile, senior, engineering, digital nomad",2026-01-23T05:00:15+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731385
608f18cd-b658-404f-8ff0-197dfcadb839,Software Engineer Core Platform,Wipro,Remote,"software, security, support, developer, test, code, cloud, senior, reliability, engineer, engineering, backend, digital nomad",2026-01-21T00:00:58+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731767
7bd8cbac-9e9b-465e-b683-227a5a4a5224,Crypto Trading Trainee Market Analysis Associate,TCS,Pune,"finance, crypto, education, junior, analyst, web3, blockchain, defi, ethereum, bitcoin, other, virtual assistant, exec",2026-01-20T09:48:22+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731821
8fe1f9e9-4646-4c62-966d-33459809a0d5,Channel Account Manager HVAC Northeast,Infosys,Bangalore,"manager, training, financial, finance, sales, non tech",2026-01-24T08:00:28+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731196
bbb0f56b-5c2a-47df-8e0f-92e1c76b732c,Technical Support Engineer,Accenture,Hyderabad,"python, technical, support, growth, director, javascript, strategy, content, engineer, engineering, executive",2026-01-25T02:00:03+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731149
33f633c3-3e65-4b85-8314-7feefb6c6786,X Memes and Headline Commentary Tutor,Wipro,Pune,"tutor, training, technical, support, software, content, engineering",2026-01-24T06:00:04+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731212
44ddfeea-036c-4e76-8ea6-72f0f0e9dec8,Fullstack Engineer Education,Infosys,Remote,"system, support, education, content, analytics, engineer, engineering, backend, fullstack",2026-01-25T16:00:07+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731124
f9a4ceb8-ff5d-4b27-ab48-ba3928ae53b6,Senior Specialist Healthcare Data Analytics & Visualization,Wipro,Bangalore,"support, analyst, management, senior, operational, analytics, medical, health, healthcare, non tech",2026-01-24T00:02:34+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731243
1fa3fc27-96a0-47b0-bb59-8284eca4da62,Customer Support Technician,Wipro,Hyderabad,"technical, support, software, growth, web, payroll, qa, financial, education, microsoft, go, health, healthcare, full-time",2026-01-21T11:00:31+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731678
992d5aef-bd49-4309-bdd0-278768ebfb18,Fully Customer Service Booking Hotels,Samsung SDS,Gurgaon,"training, support, travel, sales, non tech",2026-01-24T00:00:40+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731336
a4a4f4c0-a791-43c7-bed5-91c1ec25e457,Financial Analyst,Accenture,Pune,"analyst, financial",2026-01-26T09:00:34+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731069
c37e8155-bcac-4dbf-bafc-d2c84e98076d,Senior Lead Designer Web &amp; Interactive,Wipro,Gurgaon,"web, design, jira, web3, crypto, react, 3d, architect, designer, technical, qa, javascript, financial, lead, content, senior, marketing, engineering, digital nomad",2026-01-22T18:00:27+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731485
d6fc7ea5-adb3-4db1-8b14-81a6a72ae7a5,Support Engineer,Infosys,Gurgaon,"grafana, technical, support, software, operations, recruiting, engineer, engineering",2026-01-26T16:00:23+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731060
53911936-1eb1-4118-891d-8c6abee3591b,Auditor Safety Security and Compliance,Accenture,Gurgaon,"security, system, travel, manager, management, operations",2026-01-24T00:02:03+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731268
63f1ae4e-702e-47ab-b311-c33414d7244e,Manager Parcel Operations,Infosys,Pune,"manager, support, operations, ecommerce",2026-01-24T00:02:14+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731259
f92f916b-205d-49ae-b237-c67a7b7225a3,Customer Service Representative,Infosys,Hyderabad,"training, voice, financial, finance, non tech",2026-01-21T11:00:16+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731685
a34d4ce7-0005-414d-9e4b-e246596b1de9,Brand Designer,Wipro,Pune,"design, saas, system, training, ceo, designer, recruiter, support, test, growth, code, web, voice, manager, financial, education, cloud, leader, marketing, recruitment, ecommerce, digital nomad",2026-01-21T22:00:18+00:00,,,RemoteOK_API,2026-01-27 20:40:13.731564
